,Year,Organization,Recipient,Amount,Description
1057,2016,Open Philanthropy,Compassion in World Farming USA,550000.0,Compassion in World Farming USA — General Support (2016)
1058,2016,Open Philanthropy,Eurogroup for Animals,535699.0,Eurogroup for Animals — Fish Welfare (2016)
1059,2016,Open Philanthropy,Compassion Over Killing,500000.0,Compassion Over Killing — U.S. Broiler Welfare Campaigns
1060,2016,Open Philanthropy,Animal Equality,500000.0,Animal Equality — International Cage-Free Advocacy
1061,2016,Open Philanthropy,Global Animal Partnership,500000.0,Global Animal Partnership — General Support (2016)
1062,2016,Open Philanthropy,Humane Society of the United States,500000.0,Humane Society of the United States — Corporate Cage-Free Campaigns
1063,2016,Open Philanthropy,The Pollination Project,233000.0,The Pollination Project — Global Animal Advocacy Movement (2016)
1064,2016,Open Philanthropy,Fórum Nacional de Proteção e Defesa Animal,100000.0,Fórum Nacional de Proteção e Defesa Animal — International Cage-Free Advocacy
1065,2016,Open Philanthropy,People for Animals,89392.0,People for Animals — International Cage-Free Advocacy
1066,2016,Open Philanthropy,Impossible Foods,,Impossible Foods — R&D Investment
